COMPANY,ROLE,LOCATION,WEBSITE,NOTES,CERTIFICATIONS & DPP
Okutex,fabric manufacturer,"Okutex AG, Hintere Poststrasse 12, CH-9000 St.Gallen",https://www.okutex.ch/en/home-page/,Finished wovens & embroideries. Simon already reached out to them*.,
Filtex AG,fabric manufacturer ,"Filtex AG, Teufener Str. 1, 9000 St. Gallen",https://www.filtex.ch/en/about,finished woven & embroidery / unfinished fabrics (grey goods),
Dolinschek GmbH,fabric manufacturer,"Dolinschek GmbH, Eichhalde 15, 72393 Burladingen, Germany",https://dolinschek.de/  ,finished knitwear incl cut,
Will Hermann,fabric manufacturer ,"Willy Hermann – SUPERFINE GmbH & Co KG, Oberer Achdamm 10, A-6971 Hard, Austria",https://www.willy-hermann.com/ ,"unfinished knitwear (they have a separate dye-house called Pro4Tex for finishing, but it is too far away - Pro4tex, Limbacher Str. 28, 09243 Niederfrohna, Germany)",
Albstoffe,fabric manufacturer,"ALBSTOFFE, MR Création Maute + Renz Textil GmbH, Goethestrasse 86, D-72461 Albstadt-Tailfingen",https://albstoffe.de/,I've had troubles in understanding if the address is from their factory (all in german),"Oekotex 100, GOTS"
Takli Textil,garment manufacturer / repair,"Takli Textil, Ringinger Tal 39, 72393 Burladingen, Germany",https://takli-textil.de/leistungen-service.html,"Contract manufacturing (cut&sew) / Intermediate workshop (cut &sew) / pattern / Processing (steaming, repair etc) /packaging and shipping",
Die Manufaktur GmbH,repair,"Die Manufaktur GmbH, Bahnhofstrasse 8, 9000 St.Gallen",https://www.diemanufakturgmbh.ch/,alteration & repair services per gament,
E. Schellenberg Textildruck AG,finishing,"E. Schellenberg Textildruck AG, Alte Wermatswilerstrasse 4, 8320 Fehraltorf, Switzerland",https://www.estextildruck.ch/english,"dyeing, printing and finishing fabrics","Oekotex 100, GOTS, Cradle2cradle"
Carl Meiser,finishing,"Carl Meiser GmbH, Stadionstrasse 75 • D-72461 Albstadt",https://www.carl-meiser.de/en,garment dye/jet dyeing knitwear. ,"DPP for their process. Oekotex 100, GOTS"
Fischer Textil,finishing,"Fischer Textil oHG, Im Anwandel 8, 72459 Albstadt, Germany",https://www.fischertextil-albstadt.de/,garment printing/embroidery/textile decoration,
Daiber,finishing,"Gustav Daiber GmbH, Vor dem Weißen Stein 25-31, D-72461 Albstadt, Germany",https://www.daiber.de/,garment printing/embroidery/textile decoration,